Season;Spec;Rank;Country;Confederation;Rider1;Rank1;Score1;Rider2;Rank2;Score2;Rider3;Rank3;Score3;Score
2025;OVERALL;1;Denmark;Union Européenne de Cyclisme;Jonas Vingegaard;2;97,9273183;Mads Pedersen;6;94,9047619;Mattias Skjelmose;11;91,9924812;94,94057105
2025;OVERALL;2;Belgium;Union Européenne de Cyclisme;Remco Evenepoel;5;95,41102757;Wout van Aert;15;90,65413534;Arnaud De Lie;20;89,39348371;91,81863068
2025;OVERALL;3;Italy;Union Européenne de Cyclisme;Giulio Ciccone;10;92,56641604;Filippo Ganna;14;91,82205514;Giulio Pellizzari;21;88,65914787;91,01496286
2025;OVERALL;4;Great Britain;Union Européenne de Cyclisme;Oscar Onley;12;91,98496241;Thomas Pidcock;13;91,89974937;Simon Yates;23;88,48621554;90,7894012
2025;OVERALL;5;United States;Confederación Panamericana de Ciclismo;Brandon McNulty;16;90,57142857;Quinn Simmons;25;87,90726817;Matteo Jorgenson;34;85,88220551;88,11941955
2025;OVERALL;6;Slovenia;Union Européenne de Cyclisme;Tadej Pogačar;1;99,25062657;Primož Roglič;27;86,9924812;Matej Mohorič;100;76,52882206;87,58976737
2025;OVERALL;7;Australia;Oceanian Cycling Confederation;Michael Matthews;22;88,56390977;Michael Storer;26;87,63909774;Jay Vine;30;86,56641604;87,58893195
2025;OVERALL;8;Netherlands;Union Européenne de Cyclisme;Mathieu van der Poel;3;96,74686717;Thymen Arensman;42;84,21052632;Olav Kooij;57;81,70676692;87,55384459
2025;OVERALL;9;France;Union Européenne de Cyclisme;Kévin Vauquelin;18;90,14536341;Julian Alaphilippe;32;86,39598997;Lenny Martinez;36;85,21553885;87,25142489
2025;OVERALL;10;Spain;Union Européenne de Cyclisme;Juan Ayuso;19;89,73433584;Enric Mas;40;84,55889724;Javier Romo;51;83,13032581;85,80699489
2025;OVERALL;11;Ecuador;Confederación Panamericana de Ciclismo;Richard Carapaz;28;86,72431078;Jhonatan Narváez;33;86,39097744;Harold Martín López;88;77,36340852;83,49206398
2025;OVERALL;12;Norway;Union Européenne de Cyclisme;Tobias Halland Johannessen;29;86,64661654;Søren Wærenskjold;53;82,21804511;Jonas Abrahamsen;71;79,28822055;82,71680023
2025;OVERALL;13;Portugal;Union Européenne de Cyclisme;João Almeida;4;95,98997494;António Morgado;98;76,69172932;Afonso Eulálio;167;72,60651629;81,76192256
2025;OVERALL;14;Germany;Union Européenne de Cyclisme;Florian Lipowitz;7;93,48621554;Maximilian Schachmann;103;76,19799499;Max Kanter;127;74,52130326;81,40102391
2025;OVERALL;15;Switzerland;Union Européenne de Cyclisme;Jan Christen;50;83,22055138;Mauro Schmid;66;80,46115288;Stefan Küng;85;78,04010025;80,5731291
2025;OVERALL;16;Ireland;Union Européenne de Cyclisme;Ben Healy;8;93,24561404;Rory Townsend;84;78,12030075;Archie Ryan;278;68,26566416;79,87639421
2025;OVERALL;17;New Zealand;Oceanian Cycling Confederation;Aaron Gate;64;80,71177945;Finn Fisher-Black;72;79,21052632;Corbin Strong;75;79,03759398;79,65250338
2025;OVERALL;18;Colombia;Confederación Panamericana de Ciclismo;Egan Bernal;44;83,96240602;Einer Rubio;87;77,69674185;Santiago Buitrago;93;76,94736842;79,53471008
2025;OVERALL;19;Austria;Union Européenne de Cyclisme;Felix Gall;17;90,56140351;Felix Großschartner;187;71,68170426;Patrick Konrad;312;67,3433584;76,52805677
2025;OVERALL;20;Eritrea;Confédération Africaine de Cyclisme;Biniam Girmay;94;76,94235589;Henok Mulubrhan;114;75,19047619;Natnael Tesfatsion;301;67,67418546;73,26827316
2025;OVERALL;21;Canada;Confederación Panamericana de Ciclismo;Derek Gee;24;88,0726817;Michael Woods;344;65,9197995;Pier-André Côté;462;62,9122807;72,30086429
2025;OVERALL;22;Poland;Union Européenne de Cyclisme;Stanisław Aniołkowski;173;72,43358396;Rafał Majka;200;71,18295739;Michał Kwiatkowski;244;69,60401003;71,07280639
2025;OVERALL;23;Czechia;Union Européenne de Cyclisme;Pavel Bittner;114;75,19047619;Mathias Vacek;143;73,52882206;Matyáš Kopecký;403;64,41102757;71,0427315
2025;OVERALL;24;Mexico;Confederación Panamericana de Ciclismo;Isaac del Toro;9;92,98997494;Edgar David Cadena;638;59,23308271;Carlos Alfonso García;790;56,00250627;69,40782722
2025;OVERALL;25;Estonia;Union Européenne de Cyclisme;Madis Mihkels;135;73,85213033;Rein Taaramäe;378;65,1754386;Norman Vahtra;483;62,49122807;67,1722606
2025;OVERALL;26;Ukraine;Union Européenne de Cyclisme;Kyrylo Tsarenko;124;74,62406015;Andrii Ponomar;412;64,1679198;Anatolii Budiak;519;61,73934837;66,84310767
2025;OVERALL;27;Russia;Union Européenne de Cyclisme;Artem Nych;232;69,93483709;Petr Rikunov;369;65,3358396;Aleksandr Vlasov;416;64,08270677;66,45046331
2025;OVERALL;28;Kazakhstan;Asian Cycling Confederation;Yevgeniy Fedorov;240;69,67919799;Alexey Lutsenko;403;64,41102757;Nicolas Vinokurov;407;64,3283208;66,13885406
2025;OVERALL;29;Israel;Union Européenne de Cyclisme;Oded Kogut;262;68,85213033;Itamar Einhorn;399;64,5839599;Omer Goldstein;472;62,6566416;65,3635903
